tweet_id,airline_sentiment,airline,text
1,positive,Delta,Great flight and friendly staff!
2,negative,United,My flight was delayed for hours.
3,neutral,American,Flight was on time but nothing special.
4,positive,Southwest,Love the free snacks and fun crew!
5,negative,Delta,Lost my luggage and no help from staff.
6,neutral,United,Average experience, nothing to complain about.
7,positive,American,Quick boarding and smooth flight.
8,negative,Southwest,Seats were uncomfortable and dirty.
9,neutral,Delta,Flight landed on time.
10,positive,United,Excellent service and clean plane.
11,positive,American,Mohan
