text,airline_sentiment
mohan,positive
I love this airline!,positive
This was the worst flight ever.,negative
The flight was okay.,neutral
The staff was very friendly.,positive
I am never flying with them again.,negative
It was an average experience.,neutral
The food was delicious.,positive
The seats were uncomfortable.,negative
The flight was on time.,neutral
The crew was amazing!,positive
I hated the delay.,negative
Nothing special about this flight.,neutral
The entertainment was great.,positive
The baggage was lost.,negative
The check-in process was smooth.,positive
The plane was dirty.,negative
The service was acceptable.,neutral
The pilot was very professional.,positive
The air conditioning was broken.,negative
The boarding was quick.,positive
The flight was noisy.,negative
The drinks were fine.,neutral
The landing was smooth.,positive
The restroom was not clean.,negative
The announcements were clear.,positive
The food was cold.,negative
The staff was helpful.,positive
The flight was boring.,neutral
The seats were spacious.,positive
The flight was delayed for hours.,negative
The crew ignored my request.,negative
The entertainment system was outdated.,neutral
The snacks were tasty.,positive
The flight was turbulent.,neutral
The staff was rude.,negative
The flight was relaxing.,positive
The luggage arrived late.,negative
The check-in was fast.,positive
The plane was old.,neutral
The service was poor.,negative
The flight was enjoyable.,positive
The food was bland.,neutral
The staff smiled a lot.,positive
The flight was too long.,neutral
The crew was inattentive.,negative
The seats were clean.,positive
The flight was crowded.,neutral
The staff was unprofessional.,negative
The flight was comfortable.,positive
The food was expensive.,negative
The entertainment was lacking.,neutral
The staff was cheerful.,positive
The flight was uneventful.,neutral
The crew was disrespectful.,negative
The flight was smooth.,positive
The food was satisfactory.,neutral
The staff was slow.,negative
The flight was pleasant.,positive
The plane was noisy.,neutral
The crew was helpful.,positive
The flight was disappointing.,negative
The food was good.,positive
The seats were hard.,negative
The staff was attentive.,positive
The flight was average.,neutral
The crew was friendly.,positive
The flight was stressful.,negative
The food was okay.,neutral
The staff was amazing.,positive
The flight was bad.,negative
The entertainment was okay.,neutral
The staff was polite.,positive
The flight was terrible.,negative
The food was nice.,positive
The seats were uncomfortable.,negative
The staff was great.,positive
The flight was fine.,neutral
The crew was rude.,negative
The flight was excellent.,positive
The food was not good.,negative
The staff was kind.,positive
The flight was not bad.,neutral
The crew was wonderful.,positive
The flight was not good.,negative
The food was average.,neutral
The staff was superb.,positive
The flight was not enjoyable.,negative
The entertainment was fine.,neutral
The staff was the best.,positive
The flight was not comfortable.,negative
The food was not tasty.,negative
The staff was not helpful.,negative
The flight was not smooth.,negative
The entertainment was not good.,negative
The staff was not friendly.,negative
The flight was not bad.,neutral
The food was not bad.,neutral
The staff was not rude.,neutral
The flight was not long.,neutral
The entertainment was not bad.,neutral
The staff was not slow.,neutral
The flight was not crowded.,neutral
The food was not expensive.,neutral
The staff was not unprofessional.,neutral
The flight was not stressful.,neutral
The entertainment was not lacking.,neutral
The staff was not disrespectful.,neutral
The flight was not disappointing.,neutral
The food was not bland.,neutral
The staff was not inattentive.,neutral
The flight was not noisy.,neutral
The entertainment was not outdated.,neutral
The staff was not cheerful.,neutral
The flight was not boring.,neutral
The food was not cold.,neutral
The staff was not amazing.,neutral
The flight was not bad.,neutral
The entertainment was not great.,neutral
The staff was not helpful.,neutral
The flight was not pleasant.,neutral
The food was not satisfactory.,neutral
The staff was not slow.,neutral
The flight was not relaxing.,neutral
The entertainment was not lacking.,neutral
The staff was not disrespectful.,neutral
The flight was not smooth.,neutral
The food was not good.,neutral
The staff was not friendly.,neutral
The flight was not enjoyable.,neutral
The entertainment was not fine.,neutral
The staff was not the best.,neutral
The flight was not comfortable.,neutral
The food was not tasty.,neutral
The staff was not helpful.,neutral
The flight was not smooth.,neutral
The entertainment was not good.,neutral
The staff was not friendly.,neutral
The flight was not bad.,neutral
The food was not bad.,neutral
The staff was not rude.,neutral
The flight was not long.,neutral
The entertainment was not bad.,neutral
The staff was not slow.,neutral
The flight was not crowded.,neutral
The food was not expensive.,neutral
The staff was not unprofessional.,neutral
The flight was not stressful.,neutral
The entertainment was not lacking.,neutral
The staff was not disrespectful.,neutral
The flight was not disappointing.,neutral
The food was not bland.,neutral
The staff was not inattentive.,neutral
The flight was not noisy.,neutral
The entertainment was not outdated.,neutral
The staff was not cheerful.,neutral
The flight was not boring.,neutral
The food was not cold.,neutral
The staff was not amazing.,neutral
The flight was not bad.,neutral
The entertainment was not great.,neutral
The staff was not helpful.,neutral
The flight was not pleasant.,neutral
The food was not satisfactory.,neutral
The staff was not slow.,neutral
The flight was not relaxing.,neutral
The entertainment was not lacking.,neutral
The staff was not disrespectful.,neutral
The flight was not smooth.,neutral
The food was not good.,neutral
The staff was not friendly.,neutral
The flight was not enjoyable.,neutral
The entertainment was not fine.,neutral
The staff was not the best.,neutral
The flight was not comfortable.,neutral
The food was not tasty.,neutral
The staff was not helpful.,neutral
The flight was not smooth.,neutral
The entertainment was not good.,neutral
The staff was not friendly.,neutral
The flight was not bad.,neutral
The food was not bad.,neutral
The staff was not rude.,neutral
The flight was not long.,neutral
The entertainment was not bad.,neutral
The staff was not slow.,neutral
The flight was not crowded.,neutral
The food was not expensive.,neutral
The staff was not unprofessional.,neutral
The flight was not stressful.,neutral
The entertainment was not lacking.,neutral
The staff was not disrespectful.,neutral
The flight was not disappointing.,neutral
The food was not bland.,neutral
The staff was not inattentive.,neutral
The flight was not noisy.,neutral
The entertainment was not outdated.,neutral
The staff was not cheerful.,neutral
The flight was not boring.,neutral
The food was not cold.,neutral
The staff was not amazing.,neutral
The flight was not bad.,neutral
The entertainment was not great.,neutral
The staff was not helpful.,neutral
The flight was not pleasant.,neutral
The food was not satisfactory.,neutral
